,Neighborhood,Latitude,Longitude
145,Kensington,40.6462149,-73.970694
146,Kew Gardens,40.7139415,-73.830742
147,Kings Bay,40.64530975,-73.9550230275334
148,Kings Highway,40.604282,-73.97305
149,Kingsbridge,40.8787051,-73.9051408
150,Kingsbridge Heights,40.8725702,-73.9026619
151,Kips Bay,40.7395463,-73.9770832
152,Laconia,40.86544,-73.855781
153,Laurelton,40.668518,-73.7518434
154,Lenox Hill,40.7664366,-73.9590168
155,Liberty Park,40.7102404,-74.0134837030564
156,Lincoln Square,40.7723194,-73.9844012
157,Linden Hill,40.7156581,-73.9234706
158,Lindenwood,40.5511806,-74.1533903
159,Little Italy,40.7192728,-73.9982152
160,Little Neck,40.7620463,-73.7381874
161,Livingston,40.690987,-73.989916
162,Locust Point,40.8159342,-73.802078
163,Long Island City,40.7415369,-73.9571249
164,Longwood,40.8173229,-73.8993029
165,Lower East Side,40.7159357,-73.9868057
166,Madison,40.7120612,-73.9983332
167,Malba,40.7906569,-73.8268009
168,Manhattan Beach,40.57667355,-73.9410673306364
169,Manhattan Valley,40.7997764,-73.9677716
170,Manhattanville,40.8157775,-73.951554
171,Mapleton,40.573656,-74.091136
172,Marble Hill,40.8762983,-73.9104292
173,Marine Park,40.5955682,-73.9166101079987
174,Mariners Harbor,40.6367701,-74.1587547
175,Maspeth,40.723158,-73.912637
176,Meadowmere,40.6359685,-73.7415175042694
177,Melrose,40.824545,-73.9104143
178,Middle Village,40.7182153,-73.8786698186696
179,Midland Beach,40.5731606,-74.094586
180,Midtown,40.7622684,-73.9795443
181,Midwood,40.6188823,-73.9654889
182,Mill Basin,40.6032495,-73.9068747
183,Mill Island,40.7127281,-74.0060152
184,Morningside Heights,40.81,-73.9625
185,Morris Heights,40.8498223,-73.919859
186,Morris Park,40.8523224,-73.8534682
187,Morrisania,40.8292672,-73.9065253
188,Mott Haven,40.8089897,-73.9229147
189,Mount Hope,55.8630335,-4.258034
190,Murray Hill,40.7481574,-73.97875
191,Neponsit,40.572296,-73.8623097
192,New Brighton,40.6423258,-74.0929195
193,New Dorp,40.5739938,-74.1159755
194,New Hyde Park,53.5223065,-1.1327285
195,New Lots,40.6662999,-73.8837211
196,New Springville,40.5934376,-74.163199
197,NoHo,40.7258746,-73.9939566
198,North Corona,40.7469593,-73.8601456
199,Norwood,40.8772593,-73.8768626
200,Oakland Gardens,40.753991,-73.765966
201,Oakwood,40.563994,-74.1159754
202,Ocean Breeze,40.5884292,-73.8066888
203,Ocean Hill,40.6757317,-73.9124338
204,Ocean Parkway,40.6506387,-73.9738478
205,Old Astoria,40.7720145,-73.9302673
206,Old Town,40.5962681,-74.0875916
207,Olinville,40.8739631,-73.8681806
208,Ozone Park,40.67677,-73.8437461
209,Park Slope,40.6701033,-73.9859723
210,Parkchester,40.8389893,-73.8604128
211,Pelham Bay,40.8505556,-73.8333333
212,Pelham Gardens,40.8505556,-73.8333333
213,Pelham Parkway,40.8592334,-73.8550166
214,Peter Cooper Village,40.7340429,-73.9776225
215,Pleasant Plains,40.5239944,-74.2156999
216,Polo Grounds,40.831194,-73.9379048754918
217,Pomonok Houses,40.7332433,-73.81277820489
218,Port Ivory,40.6409366,-74.1801442
219,Port Morris,40.8015147,-73.9095811
220,Port Richmond,40.6331592,-74.1365318
221,Prince's Bay,40.5289944,-74.197644
222,Prospect Heights,40.6778708,-73.9684725
223,Queens Village,40.7267692,-73.7415208
224,Queensboro Hill,40.75573455,-73.9518925806638
225,Queensbridge,40.75449455,-73.9456128190541
226,Randall Manor,40.6441993,-74.1045764039448
227,Randall's Island,40.7967677,-73.9220815
228,Ravenswood,40.7614403,-73.9369206588069
229,Red Hook,40.6751032,-74.0095841
230,Rego Park,40.72293705,-73.8622065151304
231,Remsen Village,40.6422222,-73.9077778
232,Richmond Hill,40.6994253,-73.8309672
233,Richmond Valley,40.5201055,-74.2293113
234,Ridgewood,40.7080556,-73.9141667
235,Riverdale,40.90056,-73.90639
236,Rochdale Village,40.6763889,-73.7738889
237,Rockaway Park,40.5805104,-73.8361535
238,Roosevelt Island,40.7614177,-73.9502281671115
239,Rose Hill,40.743338,-73.9841594
240,Rosebank,40.6139932,-74.0662521
241,Rosedale,40.6620479,-73.7354097
242,Rossville,40.5556238,-74.2128982
243,Rugby,40.636688,-73.964513
244,Sea Gate,40.5760874,-74.0073152
245,Sheepshead Bay,40.5912161,-73.9445822
246,Shore Acres,40.609444,-74.059991
247,Silver Beach,40.8116667,-73.8063889
248,Silver Lake,40.60649295,-73.8003983129901
249,SoHo,40.72288,-73.9987505
250,Soundview,40.8294972,-73.8746243
251,South Beach,40.5903825,-74.0668076
252,South Jamaica,40.6914852,-73.8056771
253,South Ozone Park,40.6701035,-73.8190231
254,Spanish Harlem,40.7866636,-73.9501801
255,Springfield Gardens,40.678159,-73.746521
256,Spuyten Duyvil,40.8812107,-73.9173588
257,St. Albans,40.6984364,-73.7606881
258,St. George,40.644548,-74.0801415
259,Stapleton,40.6264774,-74.0776361
260,Starrett City,40.6478541,-73.8795154568842
261,Steinway,40.7745459,-73.9037477
262,Stuyvesant Heights,40.6821123,-73.9347885534563
263,Stuyvesant Town,40.7319711,-73.978092781304
264,Sunnyside,40.7398242,-73.9354153
265,Sunset Park,40.644337,-74.007532
266,Sutton Place,40.758037,-73.960182
267,Throgs Neck,40.8226008,-73.8195784
268,Todt Hill,40.6010083,-74.1150363
269,Tompkinsville,40.6364926,-74.0854193
270,Tottenville,40.5112167,-74.2493117
271,Travis,40.5931598,-74.1879218
272,Tribeca,40.7153802,-74.0093063
273,Tudor City,40.7486231,-73.9713889
274,Tudor Village,40.7486231,-73.9713889
275,Turtle Bay,40.7534666,-73.9688659
276,Two Bridges,40.7112884,-73.9922333
277,Unionport,40.8273229,-73.8501349
278,University Heights,40.8601,-73.909303
279,Upper East Side,40.7737016,-73.9641196
280,Upper West Side,40.7870455,-73.9754163
281,Utopia,40.7273247,-73.7865221
282,Van Nest,40.8484336,-73.8637463
283,Vinegar Hill,40.7030556,-73.9811111
284,Wakefield,40.8978772,-73.8523569
285,Wards Island,40.7876012,-73.9254149
286,Washington Heights,40.8401984,-73.9402214
287,Waterside Plaza,40.73758055,-73.9732421845755
288,Weeksville,40.67649605,-73.9345740933517
289,West Brighton,40.5780867,-73.9749245520036
290,West Farms,40.8398226,-73.8776356
291,West Village,40.7341857,-74.00558
292,Westchester Square,40.8408333,-73.8430556
293,Westerleigh,40.621215,-74.1318094
294,Whitestone,40.7945457,-73.8184674
295,Willets Point,40.7546149,-73.8456598
296,Williamsbridge,40.8772494,-73.8655145
297,Williamsburg,40.714622,-73.95345
298,Windsor Terrace,40.6557846,-73.9765441
299,Wingate,40.6582,-73.9442
300,Woodhaven,40.6892698,-73.8579131
301,Woodlawn,40.898155,-73.8673573
302,Woodrow,40.5434385,-74.1976441
303,Woodside,40.7461604,-73.9032853
304,Yorkville,40.7780067,-73.9482022
