,Neighborhood,Latitude,Longitude
143,Old Irving Park,41.953365,-87.7364471
144,Old Norwood,41.99212165,-87.7980199527979
145,Old Town,41.9111221,-87.6492029
146,Oriole Park,41.9789798,-87.8153295365849
147,Palmer Square,41.921085,-87.7046488803028
148,Park Manor,41.7697562,-87.6181046
149,Park West,41.9038811,-87.6423492
150,Parkview,41.9405848,-87.7232046752946
151,Peterson Park,41.9891652,-87.720430593769
152,Pill Hill,41.7273953,-87.5671979
153,Pilsen,41.8560101,-87.656306
154,Polish Village,41.91047585,-87.6267746486445
155,Portage Park,41.9578093,-87.7650594
156,Prairie Avenue Historic District,41.8564221,-87.6208847
157,Prairie Shores,41.84161365,-87.616403962317
158,Princeton Park,41.7262979,-87.6311389705345
159,Printer's Row,41.8737868,-87.6288996
160,Pulaski Park,41.90612025,-87.6633050255172
161,Pullman,41.70412395,-87.5982987069133
162,Ravenswood,41.9655913,-87.6667239
163,Ravenswood Gardens,41.9639574,-87.695167
164,Ravenswood Manor,41.9646219,-87.7013797
165,River North,41.94665865,-87.7443379497807
166,River West,41.8755616,-87.6244212
167,Riverdale,41.6658087,-87.6053444117628
168,Rogers Park,42.01053135,-87.6707481966481
169,Roscoe Village,41.9434029,-87.6791415
170,Rosehill,41.9864564,-87.6811986354359
171,Roseland,41.7019787,-87.625881
172,Rosemoor,41.7071223,-87.6072188
173,Sauganash,41.9900357,-87.7422893
174,Schorsch Forest View,41.9472536,-87.7792263
175,Schorsch Village,41.9472536,-87.7792263
176,Scottsdale,41.7474402,-87.7396616720994
177,Sheridan Park,41.8710536,-87.6548066669314
178,Sleepy Hollow,41.8141992,-87.7411657
179,Smith Park,41.89278415,-87.6904479186798
180,South Austin,41.8878759,-87.7648508
181,South Chicago,41.7391338,-87.549011798769
182,South Commons,41.8425333,-87.6219955
183,South Deering,41.6922364,-87.5717033124904
184,South East Ravenswood,41.9655913,-87.6667239
185,South Edgebrook,41.98963875,-87.7546806833191
186,South Lawndale,41.8436437,-87.7125544
187,South Loop,41.8617846,-87.6261213
188,South Shore,41.7626438,-87.5751786179462
189,Stateway Gardens,41.82639525,-87.6271422
190,Stony Island Park,41.7225348,-87.5750464
191,Streeterville,41.8933653,-87.6219967
192,The Gap,41.89235655,-87.6235882137648
193,The Island,41.8755616,-87.6244212
194,The Loop,41.8755616,-87.6244212
195,The Villa,41.8755616,-87.6244212
196,Tri-Taylor,41.869751,-87.6400791
197,Ukrainian Village,41.8963523,-87.6847499
198,Union Ridge,41.8782946,-87.6389495
199,Uptown,41.9666299,-87.6555458
200,Vittum Park,41.8033556,-87.7485309235899
201,Washington Heights,41.7064229,-87.65616
202,Washington Park,41.7925338,-87.6181052
203,Wentworth Gardens,41.8254473,-87.6326024954855
204,West Beverly,41.7181532,-87.6717674
205,West Chatham,41.7411454,-87.6125481
206,West DePaul,41.92401995,-87.6547263385441
207,West Elsdon,41.7939217,-87.7244978
208,West Englewood,41.7780891,-87.6667177
209,West Garfield Park,41.8805878,-87.7292227
210,West Humboldt Park,41.9057668,-87.7041737
211,West Lakeview,41.9439185,-87.6540759
212,West Lawn,41.7728107,-87.722275
213,West Loop,41.8755616,-87.6244212
214,West Morgan Park,41.6903117,-87.6667156
215,West Pullman,41.6750456,-87.637823
216,West Ridge,42.0035482,-87.6962426
217,West Rogers Park,42.01053135,-87.6707481966481
218,West Town,41.9014213,-87.6861661
219,West Woodlawn,41.7794786,-87.599493
220,Wicker Park,41.9078018,-87.6781551
221,Wildwood,42.00469075,-87.7759244968038
222,Woodlawn,41.7794786,-87.599493
223,Wrightwood,41.7489324,-87.7035753
224,Wrightwood,41.7489324,-87.7035753
225,Wrigleyville,41.947022,-87.6564773
